"Image","No.","Side","Vegetable","Raw_Vegetable_OCR","Vegetable_Dictionary_Match","Vegetable_Dictionary_Confidence","Vegetable_Status","Price","Vegetable_Confidence","Price_Confidence","Raw_Price_OCR","Digit_Model_Price","Digit_Model_Confidence","Price_Source"
"test1.jpg","14","left","ಹಾಗಲ-ವೈಟ್","ಹಾಗಲ--ವೈಟ್","ಹಾಗಲ-ವೈಟ್","1.0","ok","20","0.9486","1.0","20","27","0.3086","paddleocr"
"test1.jpg","15","left","ಹಾಗಲ-ಗ್ರೀನ್","ಹಾಗಲ--ರೀನ್","ಹಾಗಲ-ಗ್ರೀನ್","0.9474","ok","20","0.9293","1.0","20","642","0.3752","paddleocr"
"test1.jpg","16","left","ಕಾಲಿಫ್ಲವರ್","ಕಾಲಿಪವರ್","ಕಾಲಿಫ್ಲವರ್","1.0","ok","11","0.9821","0.9996","11","11","0.4664","paddleocr"
"test1.jpg","17","left","ತಾll","ತಾll","ಸೌತಕಾಂು","0.3636","REVIEW_NAME","PENDING_REVIEW","0.9179","0.0","","","0.0","pending_review"
"test1.jpg","18","right","ಕಗಕ","ಕಗಕ","ಕಂಬಳಕಾಯು","0.3636","REVIEW_NAME","PENDING_REVIEW","0.2827","0.0","","7777740","0.3921","pending_review"
"test1.jpg","19","right","ಪೇರ್ 1ಕೆ","ವೈo್IJ.Bo GnIBD","ಪೇರ್ 1ಕೆ","1.0","ok","PENDING_REVIEW","0.5439","0.0","","1","0.5347","pending_review"
"test1.jpg","20","right","ದಪ್ಪ ಮೆಣಸು","ದಪವಣಸು","ದಪ್ಪ ಮೆಣಸು","1.0","ok","31","0.9733","0.9997","31","251","0.4837","paddleocr"
"test1.jpg","21","right","ಸೋರೆಕಾಯಿ","ಸೋರೆಕಾಂು","ಸೋರೆಕಾಯಿ","1.0","ok","4","0.93","0.9997","4","4","0.41","paddleocr"
"test1.jpg","22","right","ಬದನೆ-ವೈಟ್","ಬದನೆ-ವೈಟ್","ಬದನೆ-ವೈಟ್","1.0","ok","6","0.998","0.9804","6","8","0.2048","paddleocr"
"test1.jpg","23","right","ಕೋಸು-ಚಪಾತಿ","ಕೋಸು--ಚಪಾಶ","ಕೋಸು-ಚಪಾತಿ","0.9474","ok","7","0.9391","0.9986","7","7","0.3081","paddleocr"
"test1.jpg","24","right","ಕೋಸು-ನ್ಯಾ.ಂ","ಕೋಸು--ಸಾೈಂ","ಕೋಸು-ನ್ಯಾ.ಂ","0.9474","ok","5","0.9619","0.9893","5","395","0.4072","paddleocr"
"test1.jpg","25","right","ಸೀಮು ಬದನೆ","ಸೀವಬದನೆ","ಸೀಮು ಬದನೆ","1.0","ok","15","0.9102","1.0","15","115","0.4151","paddleocr"
"test1.jpg","26","right","ಬಜ್ಜಿ-ನಾಟಿ","ಬಜಿ-ನಾಟಿ","ಬಜ್ಜಿ-ನಾಟಿ","1.0","ok","25","0.9366","1.0","25","121","0.3387","paddleocr"
"test1.jpg","27","right","ಬಜ್ಜಿ-ಯುಕೋನ","ಬಜಿ--ಯಕೋನ","ಬಜ್ಜಿ-ಯುಕೋನ","0.9412","ok","16","0.9519","1.0","16","15","0.3625","paddleocr"
"test1.jpg","28","right","ಬೆಂಡೆಕಾಯಿ","ಬೆಂಡೆಕಾಯು","ಬೆಂಡೆಕಾಯಿ","1.0","ok","24","0.9677","0.9978","24","24","0.3075","paddleocr"
"test1.jpg","29","right","ಟೊಮೋಟೋ-ಹುಳಿ","ಟವೋಟ--ಹುಳಿ","ಟೊಮೋಟೋ-ಹುಳಿ","0.9474","ok","18","0.9453","1.0","18","13","0.4639","paddleocr"
"test1.jpg","30","right","ಬುಲೆಟ್ ಮೆಣಸು","ಬುಲೆಟ್ಮಣಸು","ಬುಲೆಟ್ ಮೆಣಸು","1.0","ok","PENDING_REVIEW","0.9572","0.0","","1117","0.4838","pending_review"
"test1.jpg","31","right","ಬೀಟರೂಟ್","ಬೀಟ್ರೋಟ್","ಬೀಟರೂಟ್","1.0","ok","PENDING_REVIEW","0.9946","0.0","","1111","0.4834","pending_review"
